tic,year,quarter,ts_min,Timestamp_ET,Timestamp_UTC,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,trade_count,trade_volume,trade_vwap,timestamp_et_full
AVGO,2021,3,2021-09-02 17:44:00,2021-09-02 17:44:00.190850,2021-09-02 21:44:00.190850,0.006,0.333,3,1.024,5.0,440.0,490.8656136363636,2021-09-02 17:44:00.190850-04:00
AVGO,2021,3,2021-09-02 17:45:00,2021-09-02 17:45:32.698323,2021-09-02 21:45:32.698323,0.003,0.0,4,0.099,8.0,207.0,490.5627053140096,2021-09-02 17:45:32.698323-04:00
AVGO,2021,3,2021-09-02 17:46:00,2021-09-02 17:46:49.360628,2021-09-02 21:46:49.360628,0.003,0.333,1,,7.0,112.0,490.6836607142856,2021-09-02 17:46:49.360628-04:00
AVGO,2021,4,2021-12-09 17:00:00,2021-12-09 17:00:31.061309,2021-12-09 22:00:31.061309,0.003,0.2,1,,3.0,16.0,617.73,2021-12-09 17:00:31.061309-05:00
AVGO,2021,4,2021-12-09 17:01:00,2021-12-09 17:01:20.803471,2021-12-09 22:01:20.803471,0.005,-0.857,15,0.64,62.0,1618.0,618.7075587144623,2021-12-09 17:01:20.803471-05:00
AVGO,2021,4,2021-12-09 17:01:00,2021-12-09 17:01:20.803560,2021-12-09 22:01:20.803560,0.003,-0.733,15,0.64,62.0,1618.0,618.7075587144623,2021-12-09 17:01:20.803560-05:00
AVGO,2021,4,2021-12-09 17:01:00,2021-12-09 17:01:37.356934,2021-12-09 22:01:37.356934,0.003,-0.846,15,0.64,62.0,1618.0,618.7075587144623,2021-12-09 17:01:37.356934-05:00
AVGO,2021,4,2021-12-09 17:02:00,2021-12-09 17:02:13.939937,2021-12-09 22:02:13.939937,0.003,0.0,11,0.501,96.0,4468.0,619.9280841539838,2021-12-09 17:02:13.939937-05:00
AVGO,2021,4,2021-12-09 17:02:00,2021-12-09 17:02:31.887538,2021-12-09 22:02:31.887538,0.003,0.333,11,0.501,96.0,4468.0,619.9280841539838,2021-12-09 17:02:31.887538-05:00
AVGO,2021,4,2021-12-09 17:02:00,2021-12-09 17:02:38.468265,2021-12-09 22:02:38.468265,0.002,0.0,11,0.501,96.0,4468.0,619.9280841539838,2021-12-09 17:02:38.468265-05:00
AVGO,2021,4,2021-12-09 17:03:00,2021-12-09 17:03:03.202988,2021-12-09 22:03:03.202988,0.003,0.333,54,159.829,105.0,3502.0,620.1529525985152,2021-12-09 17:03:03.202988-05:00
AVGO,2021,4,2021-12-09 17:03:00,2021-12-09 17:03:10.446433,2021-12-09 22:03:10.446433,0.003,0.333,54,159.829,105.0,3502.0,620.1529525985152,2021-12-09 17:03:10.446433-05:00
AVGO,2021,4,2021-12-09 17:03:00,2021-12-09 17:03:24.086302,2021-12-09 22:03:24.086302,0.007,0.0,54,159.829,105.0,3502.0,620.1529525985152,2021-12-09 17:03:24.086302-05:00
AVGO,2021,4,2021-12-09 17:03:00,2021-12-09 17:03:24.086324,2021-12-09 22:03:24.086324,0.01,-0.714,54,159.829,105.0,3502.0,620.1529525985152,2021-12-09 17:03:24.086324-05:00
AVGO,2021,4,2021-12-09 17:03:00,2021-12-09 17:03:24.086356,2021-12-09 22:03:24.086356,0.01,-0.714,54,159.829,105.0,3502.0,620.1529525985152,2021-12-09 17:03:24.086356-05:00
AVGO,2021,4,2021-12-09 17:03:00,2021-12-09 17:03:25.965454,2021-12-09 22:03:25.965454,0.008,0.0,54,159.829,105.0,3502.0,620.1529525985152,2021-12-09 17:03:25.965454-05:00
AVGO,2021,4,2021-12-09 17:03:00,2021-12-09 17:03:55.660490,2021-12-09 22:03:55.660490,0.005,0.0,54,159.829,105.0,3502.0,620.1529525985152,2021-12-09 17:03:55.660490-05:00
AVGO,2021,4,2021-12-09 17:04:00,2021-12-09 17:04:38.235255,2021-12-09 22:04:38.235255,0.002,0.333,13,1.246,60.0,2105.0,622.1155795724466,2021-12-09 17:04:38.235255-05:00
AVGO,2021,4,2021-12-09 17:05:00,2021-12-09 17:05:13.327457,2021-12-09 22:05:13.327457,0.004,0.0,16,0.896,61.0,2532.0,622.5165896524486,2021-12-09 17:05:13.327457-05:00
AVGO,2021,4,2021-12-09 17:05:00,2021-12-09 17:05:45.360906,2021-12-09 22:05:45.360906,0.001,0.0,16,0.896,61.0,2532.0,622.5165896524486,2021-12-09 17:05:45.360906-05:00
AVGO,2021,4,2021-12-09 17:05:00,2021-12-09 17:05:51.399374,2021-12-09 22:05:51.399374,0.0,0.0,16,0.896,61.0,2532.0,622.5165896524486,2021-12-09 17:05:51.399374-05:00
AVGO,2021,4,2021-12-09 17:05:00,2021-12-09 17:05:51.948790,2021-12-09 22:05:51.948790,0.006,-0.333,16,0.896,61.0,2532.0,622.5165896524486,2021-12-09 17:05:51.948790-05:00
AVGO,2021,4,2021-12-09 17:05:00,2021-12-09 17:05:53.953612,2021-12-09 22:05:53.953612,0.001,-0.5,16,0.896,61.0,2532.0,622.5165896524486,2021-12-09 17:05:53.953612-05:00
AVGO,2021,4,2021-12-09 17:05:00,2021-12-09 17:05:53.955910,2021-12-09 22:05:53.955910,0.004,-0.5,16,0.896,61.0,2532.0,622.5165896524486,2021-12-09 17:05:53.955910-05:00
AVGO,2021,4,2021-12-09 17:06:00,2021-12-09 17:06:08.531314,2021-12-09 22:06:08.531314,0.006,-0.333,7,0.962,19.0,360.0,622.6656388888889,2021-12-09 17:06:08.531313999-05:00
AVGO,2021,4,2021-12-09 17:06:00,2021-12-09 17:06:08.532452,2021-12-09 22:06:08.532452,0.008,-0.091,7,0.962,19.0,360.0,622.6656388888889,2021-12-09 17:06:08.532452-05:00
AVGO,2021,4,2021-12-09 17:07:00,2021-12-09 17:07:27.445178,2021-12-09 22:07:27.445178,0.005,-0.714,24,1.057,86.0,2523.0,622.5344510503369,2021-12-09 17:07:27.445178-05:00
AVGO,2021,4,2021-12-09 17:07:00,2021-12-09 17:07:36.835876,2021-12-09 22:07:36.835876,0.005,-0.714,24,1.057,86.0,2523.0,622.5344510503369,2021-12-09 17:07:36.835876-05:00
AVGO,2021,4,2021-12-09 17:07:00,2021-12-09 17:07:55.193434,2021-12-09 22:07:55.193434,0.005,-0.714,24,1.057,86.0,2523.0,622.5344510503369,2021-12-09 17:07:55.193434-05:00
AVGO,2021,4,2021-12-09 17:09:00,2021-12-09 17:09:37.785233,2021-12-09 22:09:37.785233,0.005,0.667,13,214.681,35.0,1456.0,621.0676236263736,2021-12-09 17:09:37.785233-05:00
AVGO,2021,4,2021-12-09 17:09:00,2021-12-09 17:09:51.991014,2021-12-09 22:09:51.991014,0.003,0.667,13,214.681,35.0,1456.0,621.0676236263736,2021-12-09 17:09:51.991014-05:00
AVGO,2021,4,2021-12-09 17:10:00,2021-12-09 17:10:24.028246,2021-12-09 22:10:24.028246,0.002,-0.333,22,0.959,38.0,1724.0,620.722009860789,2021-12-09 17:10:24.028246-05:00
AVGO,2021,4,2021-12-09 17:10:00,2021-12-09 17:10:36.891482,2021-12-09 22:10:36.891482,0.002,0.667,22,0.959,38.0,1724.0,620.722009860789,2021-12-09 17:10:36.891482-05:00
AVGO,2021,4,2021-12-09 17:10:00,2021-12-09 17:10:43.413246,2021-12-09 22:10:43.413246,0.006,0.0,22,0.959,38.0,1724.0,620.722009860789,2021-12-09 17:10:43.413246-05:00
AVGO,2021,4,2021-12-09 17:10:00,2021-12-09 17:10:52.033057,2021-12-09 22:10:52.033057,0.002,-0.8,22,0.959,38.0,1724.0,620.722009860789,2021-12-09 17:10:52.033057-05:00
AVGO,2021,4,2021-12-09 17:11:00,2021-12-09 17:11:59.042293,2021-12-09 22:11:59.042293,0.001,0.0,9,0.24,47.0,1267.0,620.3626499605368,2021-12-09 17:11:59.042293-05:00
AVGO,2021,4,2021-12-09 17:14:00,2021-12-09 17:14:06.311842,2021-12-09 22:14:06.311842,0.001,-0.333,8,0.103,11.0,182.0,620.1387362637363,2021-12-09 17:14:06.311842-05:00
AVGO,2021,4,2021-12-09 17:14:00,2021-12-09 17:14:17.467700,2021-12-09 22:14:17.467700,0.001,0.778,8,0.103,11.0,182.0,620.1387362637363,2021-12-09 17:14:17.467700-05:00
AVGO,2021,4,2021-12-09 17:15:00,2021-12-09 17:15:20.719823,2021-12-09 22:15:20.719823,0.001,-0.8,6,0.784,27.0,1580.0,620.6235221518988,2021-12-09 17:15:20.719823-05:00
AVGO,2021,4,2021-12-09 17:17:00,2021-12-09 17:17:07.593429,2021-12-09 22:17:07.593429,0.007,-0.5,5,1.672,6.0,139.0,621.7910071942447,2021-12-09 17:17:07.593429-05:00
AVGO,2021,4,2021-12-09 17:17:00,2021-12-09 17:17:56.001606,2021-12-09 22:17:56.001606,0.007,-0.714,5,1.672,6.0,139.0,621.7910071942447,2021-12-09 17:17:56.001606-05:00
AVGO,2021,4,2021-12-09 17:20:00,2021-12-09 17:20:07.259822,2021-12-09 22:20:07.259822,0.006,-0.714,14,173.14,29.0,1453.0,621.603960770819,2021-12-09 17:20:07.259822-05:00
AVGO,2021,4,2021-12-09 17:20:00,2021-12-09 17:20:19.485575,2021-12-09 22:20:19.485575,0.004,-0.333,14,173.14,29.0,1453.0,621.603960770819,2021-12-09 17:20:19.485575-05:00
AVGO,2021,4,2021-12-09 17:20:00,2021-12-09 17:20:25.788430,2021-12-09 22:20:25.788430,0.006,-0.714,14,173.14,29.0,1453.0,621.603960770819,2021-12-09 17:20:25.788430-05:00
AVGO,2021,4,2021-12-09 17:21:00,2021-12-09 17:21:34.423223,2021-12-09 22:21:34.423223,0.006,-0.714,17,110.471,27.0,857.0,622.2912835472579,2021-12-09 17:21:34.423223-05:00
AVGO,2021,4,2021-12-09 17:21:00,2021-12-09 17:21:39.663898,2021-12-09 22:21:39.663898,0.004,0.0,17,110.471,27.0,857.0,622.2912835472579,2021-12-09 17:21:39.663898-05:00
AVGO,2021,4,2021-12-09 17:21:00,2021-12-09 17:21:50.473308,2021-12-09 22:21:50.473308,0.004,0.0,17,110.471,27.0,857.0,622.2912835472579,2021-12-09 17:21:50.473308-05:00
AVGO,2021,4,2021-12-09 17:21:00,2021-12-09 17:21:51.901102,2021-12-09 22:21:51.901102,0.068,0.0,17,110.471,27.0,857.0,622.2912835472579,2021-12-09 17:21:51.901102-05:00
AVGO,2021,4,2021-12-09 17:22:00,2021-12-09 17:22:13.406966,2021-12-09 22:22:13.406966,0.006,-0.714,6,197.144,20.0,912.0,622.677774122807,2021-12-09 17:22:13.406966-05:00
AVGO,2021,4,2021-12-09 17:23:00,2021-12-09 17:23:35.606149,2021-12-09 22:23:35.606149,0.001,-0.5,6,1.114,8.0,352.0,621.7753977272727,2021-12-09 17:23:35.606149-05:00
AVGO,2021,4,2021-12-09 17:24:00,2021-12-09 17:24:05.431395,2021-12-09 22:24:05.431395,0.006,-0.5,8,0.602,13.0,105.0,622.0380952380953,2021-12-09 17:24:05.431395-05:00
AVGO,2021,4,2021-12-09 17:24:00,2021-12-09 17:24:08.198537,2021-12-09 22:24:08.198537,0.006,-0.5,8,0.602,13.0,105.0,622.0380952380953,2021-12-09 17:24:08.198537-05:00
AVGO,2021,4,2021-12-09 17:24:00,2021-12-09 17:24:08.198751,2021-12-09 22:24:08.198751,0.002,0.0,8,0.602,13.0,105.0,622.0380952380953,2021-12-09 17:24:08.198751-05:00
AVGO,2021,4,2021-12-09 17:25:00,2021-12-09 17:25:19.210368,2021-12-09 22:25:19.210368,0.001,-0.333,6,0.811,4.0,22.0,622.2609090909091,2021-12-09 17:25:19.210368-05:00
AVGO,2021,4,2021-12-09 17:26:00,2021-12-09 17:26:30.697018,2021-12-09 22:26:30.697018,0.001,-0.75,9,0.684,39.0,1843.0,622.671692892024,2021-12-09 17:26:30.697018-05:00
AVGO,2021,4,2021-12-09 17:26:00,2021-12-09 17:26:47.804683,2021-12-09 22:26:47.804683,0.003,0.5,9,0.684,39.0,1843.0,622.671692892024,2021-12-09 17:26:47.804683-05:00
AVGO,2021,4,2021-12-09 17:27:00,2021-12-09 17:27:11.518754,2021-12-09 22:27:11.518754,0.003,-0.714,8,110.03,55.0,4572.0,623.8249453193349,2021-12-09 17:27:11.518754-05:00
AVGO,2021,4,2021-12-09 17:27:00,2021-12-09 17:27:12.599980,2021-12-09 22:27:12.599980,0.013,-0.714,8,110.03,55.0,4572.0,623.8249453193349,2021-12-09 17:27:12.599980-05:00
AVGO,2021,4,2021-12-09 17:30:00,2021-12-09 17:30:50.069580,2021-12-09 22:30:50.069580,0.003,0.6,1,,8.0,132.0,621.9765151515151,2021-12-09 17:30:50.069580-05:00
AVGO,2021,4,2021-12-09 17:31:00,2021-12-09 17:31:42.171626,2021-12-09 22:31:42.171626,0.003,0.6,3,0.58,10.0,78.0,620.6191025641027,2021-12-09 17:31:42.171626-05:00
AVGO,2021,4,2021-12-09 17:31:00,2021-12-09 17:31:56.466331,2021-12-09 22:31:56.466331,0.006,0.0,3,0.58,10.0,78.0,620.6191025641027,2021-12-09 17:31:56.466331-05:00
AVGO,2021,4,2021-12-09 17:36:00,2021-12-09 17:36:13.287122,2021-12-09 22:36:13.287122,0.001,-0.333,5,0.541,18.0,910.0,621.9734175824176,2021-12-09 17:36:13.287122-05:00
AVGO,2021,4,2021-12-09 17:37:00,2021-12-09 17:37:21.330886,2021-12-09 22:37:21.330886,0.004,-0.778,4,0.284,13.0,384.0,622.0408072916666,2021-12-09 17:37:21.330886-05:00
AVGO,2021,4,2021-12-09 17:37:00,2021-12-09 17:37:31.119129,2021-12-09 22:37:31.119129,0.003,0.0,4,0.284,13.0,384.0,622.0408072916666,2021-12-09 17:37:31.119129-05:00
AVGO,2021,4,2021-12-09 17:37:00,2021-12-09 17:37:31.120303,2021-12-09 22:37:31.120303,0.003,0.0,4,0.284,13.0,384.0,622.0408072916666,2021-12-09 17:37:31.120303-05:00
AVGO,2021,4,2021-12-09 17:38:00,2021-12-09 17:38:24.697919,2021-12-09 22:38:24.697919,0.004,0.0,7,0.533,10.0,564.0,622.0191489361703,2021-12-09 17:38:24.697919-05:00
AVGO,2021,4,2021-12-09 17:46:00,2021-12-09 17:46:18.996507,2021-12-09 22:46:18.996507,0.008,-0.75,2,2.22,8.0,206.0,623.3093203883495,2021-12-09 17:46:18.996507-05:00
AVGO,2021,4,2021-12-09 17:47:00,2021-12-09 17:47:55.870437,2021-12-09 22:47:55.870437,0.008,-0.75,3,1.338,10.0,731.0,623.682462380301,2021-12-09 17:47:55.870437-05:00
