tic,year,quarter,ts_min,Timestamp_ET,Timestamp_UTC,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,trade_count,trade_volume,trade_vwap
RFIL,2021,1,2021-03-11 16:30:00,2021-03-11 16:30:43.978135,2021-03-11 21:30:43.978135,2.0,-1.0,1,,1.0,799.0,5.7
RFIL,2021,1,2021-03-11 16:38:00,2021-03-11 16:38:58.409287,2021-03-11 21:38:58.409287,2.0,-1.0,1,,,,
RFIL,2021,1,2021-03-11 16:40:00,2021-03-11 16:40:02.973812,2021-03-11 21:40:02.973812,0.157,-0.111,1,,,,
RFIL,2021,1,2021-03-11 16:42:00,2021-03-11 16:42:35.065059,2021-03-11 21:42:35.065059,0.164,-0.333,1,,1.0,500.0,5.85
RFIL,2021,1,2021-03-11 16:43:00,2021-03-11 16:43:38.545160,2021-03-11 21:43:38.545160,0.138,0.111,1,,,,
RFIL,2021,1,2021-03-11 16:46:00,2021-03-11 16:46:07.894287,2021-03-11 21:46:07.894287,0.116,-0.429,5,0.293,4.0,1100.0,5.75
RFIL,2021,1,2021-03-11 16:46:00,2021-03-11 16:46:07.894401,2021-03-11 21:46:07.894401,0.025,-0.333,5,0.293,4.0,1100.0,5.75
RFIL,2021,1,2021-03-11 16:46:00,2021-03-11 16:46:07.894464,2021-03-11 21:46:07.894464,0.025,-0.2,5,0.293,4.0,1100.0,5.75
RFIL,2021,1,2021-03-11 16:46:00,2021-03-11 16:46:07.895243,2021-03-11 21:46:07.895243,0.025,-0.333,5,0.293,4.0,1100.0,5.75
RFIL,2021,1,2021-03-11 16:46:00,2021-03-11 16:46:37.458381,2021-03-11 21:46:37.458381,0.164,-0.333,5,0.293,4.0,1100.0,5.75
RFIL,2021,1,2021-03-11 16:50:00,2021-03-11 16:50:53.053628,2021-03-11 21:50:53.053628,0.023,-0.2,1,,1.0,20.0,5.7
RFIL,2021,1,2021-03-11 16:51:00,2021-03-11 16:51:43.052211,2021-03-11 21:51:43.052211,0.164,-0.333,1,,1.0,2.0,5.72
RFIL,2021,1,2021-03-11 16:52:00,2021-03-11 16:52:02.387665,2021-03-11 21:52:02.387665,0.021,0.0,5,0.322,5.0,500.0,5.7182
RFIL,2021,1,2021-03-11 16:52:00,2021-03-11 16:52:13.502203,2021-03-11 21:52:13.502203,0.021,0.333,5,0.322,5.0,500.0,5.7182
RFIL,2021,1,2021-03-11 16:52:00,2021-03-11 16:52:26.392263,2021-03-11 21:52:26.392263,0.116,-0.111,5,0.322,5.0,500.0,5.7182
RFIL,2021,1,2021-03-11 16:52:00,2021-03-11 16:52:37.133988,2021-03-11 21:52:37.133988,0.09,0.333,5,0.322,5.0,500.0,5.7182
RFIL,2021,1,2021-03-11 16:52:00,2021-03-11 16:52:46.386348,2021-03-11 21:52:46.386348,0.116,-0.25,5,0.322,5.0,500.0,5.7182
RFIL,2021,1,2021-03-11 16:53:00,2021-03-11 16:53:06.808288,2021-03-11 21:53:06.808288,0.133,0.333,2,0.06,,,
RFIL,2021,1,2021-03-11 16:53:00,2021-03-11 16:53:12.215907,2021-03-11 21:53:12.215907,0.09,0.333,2,0.06,,,
RFIL,2021,1,2021-03-11 16:54:00,2021-03-11 16:54:48.383723,2021-03-11 21:54:48.383723,0.116,-0.429,1,,2.0,129.0,5.723255813953488
RFIL,2021,1,2021-03-11 17:12:00,2021-03-11 17:12:30.448395,2021-03-11 22:12:30.448395,0.349,-0.667,2,0.831,3.0,379.0,5.671081794195251
RFIL,2021,1,2021-03-11 17:12:00,2021-03-11 17:12:39.275768,2021-03-11 22:12:39.275768,0.124,-0.667,2,0.831,3.0,379.0,5.671081794195251
RFIL,2021,1,2021-03-11 17:13:00,2021-03-11 17:13:52.199609,2021-03-11 22:13:52.199609,0.349,-0.667,3,0.588,1.0,46.0,5.72
RFIL,2021,1,2021-03-11 17:13:00,2021-03-11 17:13:57.240732,2021-03-11 22:13:57.240732,0.116,-0.667,3,0.588,1.0,46.0,5.72
RFIL,2021,1,2021-03-11 17:13:00,2021-03-11 17:13:57.250100,2021-03-11 22:13:57.250100,0.164,-0.6,3,0.588,1.0,46.0,5.72
RFIL,2021,2,2021-06-14 16:30:00,2021-06-14 16:30:17.972393,2021-06-14 20:30:17.972393,0.023,0.0,1,,6.0,282.0,8.35223404255319
RFIL,2021,2,2021-06-14 16:31:00,2021-06-14 16:31:17.226712,2021-06-14 20:31:17.226712,0.018,-0.778,10,0.059,12.0,1857.0,8.490845449649973
RFIL,2021,2,2021-06-14 16:31:00,2021-06-14 16:31:20.656886,2021-06-14 20:31:20.656886,0.018,-0.6,10,0.059,12.0,1857.0,8.490845449649973
RFIL,2021,2,2021-06-14 16:31:00,2021-06-14 16:31:30.216400,2021-06-14 20:31:30.216400,0.018,-0.778,10,0.059,12.0,1857.0,8.490845449649973
RFIL,2021,2,2021-06-14 16:31:00,2021-06-14 16:31:32.971622,2021-06-14 20:31:32.971622,0.021,-0.778,10,0.059,12.0,1857.0,8.490845449649973
RFIL,2021,2,2021-06-14 16:31:00,2021-06-14 16:31:43.790870,2021-06-14 20:31:43.790870,0.012,-0.778,10,0.059,12.0,1857.0,8.490845449649973
RFIL,2021,2,2021-06-14 16:31:00,2021-06-14 16:31:45.479294,2021-06-14 20:31:45.479294,0.012,0.448,10,0.059,12.0,1857.0,8.490845449649973
RFIL,2021,2,2021-06-14 16:31:00,2021-06-14 16:31:46.435167,2021-06-14 20:31:46.435167,0.529,0.0,10,0.059,12.0,1857.0,8.490845449649973
RFIL,2021,2,2021-06-14 16:31:00,2021-06-14 16:31:48.082009,2021-06-14 20:31:48.082009,0.024,0.615,10,0.059,12.0,1857.0,8.490845449649973
RFIL,2021,2,2021-06-14 16:31:00,2021-06-14 16:31:50.157873,2021-06-14 20:31:50.157873,0.056,-0.833,10,0.059,12.0,1857.0,8.490845449649973
RFIL,2021,2,2021-06-14 16:31:00,2021-06-14 16:31:50.157935,2021-06-14 20:31:50.157935,0.027,-0.2,10,0.059,12.0,1857.0,8.490845449649973
RFIL,2021,2,2021-06-14 16:32:00,2021-06-14 16:32:00.280512,2021-06-14 20:32:00.280512,0.019,-0.429,16,1.615,19.0,2392.0,8.565990802675586
RFIL,2021,2,2021-06-14 16:32:00,2021-06-14 16:32:32.007147,2021-06-14 20:32:32.007147,0.014,-0.667,16,1.615,19.0,2392.0,8.565990802675586
RFIL,2021,2,2021-06-14 16:32:00,2021-06-14 16:32:42.336987,2021-06-14 20:32:42.336987,0.017,-0.333,16,1.615,19.0,2392.0,8.565990802675586
RFIL,2021,2,2021-06-14 16:32:00,2021-06-14 16:32:47.034994,2021-06-14 20:32:47.034994,0.029,-0.667,16,1.615,19.0,2392.0,8.565990802675586
RFIL,2021,2,2021-06-14 16:32:00,2021-06-14 16:32:55.240540,2021-06-14 20:32:55.240540,0.092,-0.2,16,1.615,19.0,2392.0,8.565990802675586
RFIL,2021,2,2021-06-14 16:32:00,2021-06-14 16:32:55.240542,2021-06-14 20:32:55.240542,0.12,-0.692,16,1.615,19.0,2392.0,8.565990802675586
RFIL,2021,2,2021-06-14 16:32:00,2021-06-14 16:32:55.240578,2021-06-14 20:32:55.240578,0.05,-0.833,16,1.615,19.0,2392.0,8.565990802675586
RFIL,2021,2,2021-06-14 16:32:00,2021-06-14 16:32:55.240796,2021-06-14 20:32:55.240796,0.045,-0.913,16,1.615,19.0,2392.0,8.565990802675586
RFIL,2021,2,2021-06-14 16:32:00,2021-06-14 16:32:55.240802,2021-06-14 20:32:55.240802,-2.0,1.0,16,1.615,19.0,2392.0,8.565990802675586
RFIL,2021,2,2021-06-14 16:32:00,2021-06-14 16:32:55.241004,2021-06-14 20:32:55.241004,0.041,-0.909,16,1.615,19.0,2392.0,8.565990802675586
RFIL,2021,2,2021-06-14 16:32:00,2021-06-14 16:32:55.241245,2021-06-14 20:32:55.241245,0.037,-0.909,16,1.615,19.0,2392.0,8.565990802675586
RFIL,2021,2,2021-06-14 16:32:00,2021-06-14 16:32:55.241366,2021-06-14 20:32:55.241366,0.029,-0.6,16,1.615,19.0,2392.0,8.565990802675586
RFIL,2021,2,2021-06-14 16:32:00,2021-06-14 16:32:55.243093,2021-06-14 20:32:55.243093,0.035,-0.333,16,1.615,19.0,2392.0,8.565990802675586
RFIL,2021,2,2021-06-14 16:32:00,2021-06-14 16:32:56.604469,2021-06-14 20:32:56.604469,0.041,-0.909,16,1.615,19.0,2392.0,8.565990802675586
RFIL,2021,2,2021-06-14 16:32:00,2021-06-14 16:32:56.604481,2021-06-14 20:32:56.604481,0.045,-0.909,16,1.615,19.0,2392.0,8.565990802675586
RFIL,2021,2,2021-06-14 16:32:00,2021-06-14 16:32:56.604492,2021-06-14 20:32:56.604492,0.12,-0.68,16,1.615,19.0,2392.0,8.565990802675586
RFIL,2021,2,2021-06-14 16:34:00,2021-06-14 16:34:48.833658,2021-06-14 20:34:48.833658,0.014,-0.909,9,0.231,19.0,4700.0,8.719893617021276
RFIL,2021,2,2021-06-14 16:34:00,2021-06-14 16:34:48.833773,2021-06-14 20:34:48.833773,0.016,0.0,9,0.231,19.0,4700.0,8.719893617021276
RFIL,2021,2,2021-06-14 16:34:00,2021-06-14 16:34:48.836100,2021-06-14 20:34:48.836100,0.01,-0.909,9,0.231,19.0,4700.0,8.719893617021276
RFIL,2021,2,2021-06-14 16:34:00,2021-06-14 16:34:48.836221,2021-06-14 20:34:48.836221,0.028,-0.889,9,0.231,19.0,4700.0,8.719893617021276
RFIL,2021,2,2021-06-14 16:34:00,2021-06-14 16:34:53.092853,2021-06-14 20:34:53.092853,0.119,0.6,9,0.231,19.0,4700.0,8.719893617021276
RFIL,2021,2,2021-06-14 16:34:00,2021-06-14 16:34:53.093875,2021-06-14 20:34:53.093875,0.109,0.0,9,0.231,19.0,4700.0,8.719893617021276
RFIL,2021,2,2021-06-14 16:34:00,2021-06-14 16:34:53.093904,2021-06-14 20:34:53.093904,0.109,-0.111,9,0.231,19.0,4700.0,8.719893617021276
RFIL,2021,2,2021-06-14 16:34:00,2021-06-14 16:34:53.278665,2021-06-14 20:34:53.278665,0.109,0.0,9,0.231,19.0,4700.0,8.719893617021276
RFIL,2021,2,2021-06-14 16:34:00,2021-06-14 16:34:55.674613,2021-06-14 20:34:55.674613,0.109,0.333,9,0.231,19.0,4700.0,8.719893617021276
RFIL,2021,2,2021-06-14 16:35:00,2021-06-14 16:35:01.131373,2021-06-14 20:35:01.131373,0.109,0.6,12,0.145,19.0,3947.0,8.771213579934127
RFIL,2021,2,2021-06-14 16:35:00,2021-06-14 16:35:01.131417,2021-06-14 20:35:01.131417,0.109,-0.111,12,0.145,19.0,3947.0,8.771213579934127
RFIL,2021,2,2021-06-14 16:35:00,2021-06-14 16:35:01.134574,2021-06-14 20:35:01.134574,0.109,0.0,12,0.145,19.0,3947.0,8.771213579934127
RFIL,2021,2,2021-06-14 16:35:00,2021-06-14 16:35:10.114856,2021-06-14 20:35:10.114856,0.12,-0.68,12,0.145,19.0,3947.0,8.771213579934127
RFIL,2021,2,2021-06-14 16:35:00,2021-06-14 16:35:10.114901,2021-06-14 20:35:10.114901,0.109,0.6,12,0.145,19.0,3947.0,8.771213579934127
RFIL,2021,2,2021-06-14 16:35:00,2021-06-14 16:35:10.115849,2021-06-14 20:35:10.115849,0.12,-0.68,12,0.145,19.0,3947.0,8.771213579934127
RFIL,2021,2,2021-06-14 16:35:00,2021-06-14 16:35:15.119335,2021-06-14 20:35:15.119335,0.023,-0.889,12,0.145,19.0,3947.0,8.771213579934127
RFIL,2021,2,2021-06-14 16:35:00,2021-06-14 16:35:32.456159,2021-06-14 20:35:32.456159,0.011,0.333,12,0.145,19.0,3947.0,8.771213579934127
RFIL,2021,2,2021-06-14 16:35:00,2021-06-14 16:35:34.016525,2021-06-14 20:35:34.016525,0.011,0.0,12,0.145,19.0,3947.0,8.771213579934127
RFIL,2021,2,2021-06-14 16:35:00,2021-06-14 16:35:47.287416,2021-06-14 20:35:47.287416,0.011,0.333,12,0.145,19.0,3947.0,8.771213579934127
RFIL,2021,2,2021-06-14 16:35:00,2021-06-14 16:35:52.985473,2021-06-14 20:35:52.985473,0.011,0.0,12,0.145,19.0,3947.0,8.771213579934127
RFIL,2021,2,2021-06-14 16:35:00,2021-06-14 16:35:53.053083,2021-06-14 20:35:53.053083,0.147,-0.667,12,0.145,19.0,3947.0,8.771213579934127
RFIL,2021,2,2021-06-14 16:36:00,2021-06-14 16:36:23.710578,2021-06-14 20:36:23.710578,0.075,0.0,8,0.266,31.0,5456.0,8.82474340175953
RFIL,2021,2,2021-06-14 16:36:00,2021-06-14 16:36:31.369983,2021-06-14 20:36:31.369983,0.01,0.487,8,0.266,31.0,5456.0,8.82474340175953
RFIL,2021,2,2021-06-14 16:36:00,2021-06-14 16:36:34.951937,2021-06-14 20:36:34.951937,0.01,0.526,8,0.266,31.0,5456.0,8.82474340175953
RFIL,2021,2,2021-06-14 16:36:00,2021-06-14 16:36:36.595576,2021-06-14 20:36:36.595576,0.01,0.568,8,0.266,31.0,5456.0,8.82474340175953
RFIL,2021,2,2021-06-14 16:36:00,2021-06-14 16:36:42.167818,2021-06-14 20:36:42.167818,0.077,-0.429,8,0.266,31.0,5456.0,8.82474340175953
RFIL,2021,2,2021-06-14 16:36:00,2021-06-14 16:36:42.171378,2021-06-14 20:36:42.171378,0.001,0.333,8,0.266,31.0,5456.0,8.82474340175953
RFIL,2021,2,2021-06-14 16:36:00,2021-06-14 16:36:44.280837,2021-06-14 20:36:44.280837,0.006,0.714,8,0.266,31.0,5456.0,8.82474340175953
RFIL,2021,2,2021-06-14 16:36:00,2021-06-14 16:36:44.407485,2021-06-14 20:36:44.407485,0.077,-0.429,8,0.266,31.0,5456.0,8.82474340175953
RFIL,2021,2,2021-06-14 16:37:00,2021-06-14 16:37:08.670135,2021-06-14 20:37:08.670135,0.083,-0.667,5,7.026,16.0,2136.0,8.853235018726592
RFIL,2021,2,2021-06-14 16:37:00,2021-06-14 16:37:08.670154,2021-06-14 20:37:08.670154,-2.0,1.0,5,7.026,16.0,2136.0,8.853235018726592
RFIL,2021,2,2021-06-14 16:37:00,2021-06-14 16:37:08.670249,2021-06-14 20:37:08.670249,0.019,0.529,5,7.026,16.0,2136.0,8.853235018726592
RFIL,2021,2,2021-06-14 16:37:00,2021-06-14 16:37:25.213683,2021-06-14 20:37:25.213683,,,5,7.026,16.0,2136.0,8.853235018726592
RFIL,2021,2,2021-06-14 16:37:00,2021-06-14 16:37:25.213685,2021-06-14 20:37:25.213685,0.147,-0.667,5,7.026,16.0,2136.0,8.853235018726592
RFIL,2021,2,2021-06-14 16:40:00,2021-06-14 16:40:57.506581,2021-06-14 20:40:57.506581,0.018,-0.333,1,,2.0,335.0,8.80402985074627
RFIL,2021,2,2021-06-14 16:41:00,2021-06-14 16:41:24.533429,2021-06-14 20:41:24.533429,0.016,-0.143,1,,8.0,1120.0,8.786321428571428
RFIL,2021,2,2021-06-14 16:42:00,2021-06-14 16:42:11.920099,2021-06-14 20:42:11.920099,0.013,-0.935,4,0.044,10.0,1238.0,8.758077544426495
RFIL,2021,2,2021-06-14 16:42:00,2021-06-14 16:42:15.325874,2021-06-14 20:42:15.325874,0.006,0.0,4,0.044,10.0,1238.0,8.758077544426495
RFIL,2021,2,2021-06-14 16:42:00,2021-06-14 16:42:16.902257,2021-06-14 20:42:16.902257,0.011,0.6,4,0.044,10.0,1238.0,8.758077544426495
RFIL,2021,2,2021-06-14 16:42:00,2021-06-14 16:42:18.400469,2021-06-14 20:42:18.400469,0.011,0.556,4,0.044,10.0,1238.0,8.758077544426495
RFIL,2021,2,2021-06-14 16:43:00,2021-06-14 16:43:31.136740,2021-06-14 20:43:31.136740,0.011,0.75,9,0.03,9.0,621.0,8.7
RFIL,2021,2,2021-06-14 16:43:00,2021-06-14 16:43:31.182907,2021-06-14 20:43:31.182907,0.015,0.0,9,0.03,9.0,621.0,8.7
RFIL,2021,2,2021-06-14 16:43:00,2021-06-14 16:43:31.185758,2021-06-14 20:43:31.185758,0.011,0.714,9,0.03,9.0,621.0,8.7
RFIL,2021,2,2021-06-14 16:43:00,2021-06-14 16:43:31.373522,2021-06-14 20:43:31.373522,0.017,-0.935,9,0.03,9.0,621.0,8.7
RFIL,2021,2,2021-06-14 16:43:00,2021-06-14 16:43:31.373642,2021-06-14 20:43:31.373642,0.011,0.667,9,0.03,9.0,621.0,8.7
RFIL,2021,2,2021-06-14 16:43:00,2021-06-14 16:43:34.966100,2021-06-14 20:43:34.966100,0.011,0.6,9,0.03,9.0,621.0,8.7
RFIL,2021,2,2021-06-14 16:43:00,2021-06-14 16:43:48.916296,2021-06-14 20:43:48.916296,0.013,0.0,9,0.03,9.0,621.0,8.7
RFIL,2021,2,2021-06-14 16:43:00,2021-06-14 16:43:48.916403,2021-06-14 20:43:48.916403,0.009,-0.25,9,0.03,9.0,621.0,8.7
RFIL,2021,2,2021-06-14 16:43:00,2021-06-14 16:43:59.803260,2021-06-14 20:43:59.803260,0.017,-0.935,9,0.03,9.0,621.0,8.7
RFIL,2021,2,2021-06-14 16:44:00,2021-06-14 16:44:02.425097,2021-06-14 20:44:02.425097,0.015,-0.667,2,0.039,17.0,1563.0,8.590626999360204
RFIL,2021,2,2021-06-14 16:44:00,2021-06-14 16:44:04.178223,2021-06-14 20:44:04.178223,0.035,-0.875,2,0.039,17.0,1563.0,8.590626999360204
RFIL,2021,2,2021-06-14 16:45:00,2021-06-14 16:45:45.170173,2021-06-14 20:45:45.170173,0.02,0.333,7,0.114,23.0,7563.0,8.481459738199128
RFIL,2021,2,2021-06-14 16:45:00,2021-06-14 16:45:45.170284,2021-06-14 20:45:45.170284,0.023,-0.364,7,0.114,23.0,7563.0,8.481459738199128
RFIL,2021,2,2021-06-14 16:45:00,2021-06-14 16:45:45.172349,2021-06-14 20:45:45.172349,0.029,-0.429,7,0.114,23.0,7563.0,8.481459738199128
RFIL,2021,2,2021-06-14 16:45:00,2021-06-14 16:45:45.176794,2021-06-14 20:45:45.176794,0.056,-0.667,7,0.114,23.0,7563.0,8.481459738199128
RFIL,2021,2,2021-06-14 16:45:00,2021-06-14 16:45:45.177315,2021-06-14 20:45:45.177315,0.041,0.0,7,0.114,23.0,7563.0,8.481459738199128
RFIL,2021,2,2021-06-14 16:45:00,2021-06-14 16:45:45.177437,2021-06-14 20:45:45.177437,0.029,-0.5,7,0.114,23.0,7563.0,8.481459738199128
RFIL,2021,2,2021-06-14 16:45:00,2021-06-14 16:45:59.865696,2021-06-14 20:45:59.865696,0.12,-0.765,7,0.114,23.0,7563.0,8.481459738199128
RFIL,2021,2,2021-06-14 16:46:00,2021-06-14 16:46:17.486600,2021-06-14 20:46:17.486600,0.048,-0.6,6,0.161,5.0,510.0,8.454117647058824
RFIL,2021,2,2021-06-14 16:46:00,2021-06-14 16:46:30.753929,2021-06-14 20:46:30.753929,0.029,-0.429,6,0.161,5.0,510.0,8.454117647058824
RFIL,2021,2,2021-06-14 16:46:00,2021-06-14 16:46:37.942783,2021-06-14 20:46:37.942783,0.029,-0.111,6,0.161,5.0,510.0,8.454117647058824
